Mother-offspring and nest mate resemblance but no heritability in early-life telomere length in white-throated dippers
Philipp J. J. Becker, Sophie Reichert, Sandrine Zahn, Johann Hegelbach, Sylvie Massemin, Lukas F. Keller, Erik Postma, François Criscuolo

---

ANIMAL, MOTHER, FATHER: sequential number for an individual (offspring) and its dam and sire
NEST: unique nest identity
BYEAR: year of birth
SEX: female (F), male (M)
HATCH: day of hatching (julian day, January 1st is day 1)
AGE: Age in days at sampling
RIVER: name of river of birth
INBR: inbreeding coefficient
MASS: body mass, residuals from a model correcting for age at measurement
TARSUS: tarsus length, residuals from a model correcting for age at measurement
NESTLINGS: number of nestlings (at the time of ringing, measurement and blood sampling)
TEL: relative telomere length
RESID.TEL: residuals of a model of TEL against year of birth and inbreeding coefficient

---

ANIMAL	NEST	MOTHER	FATHER	BYEAR	SEX	HATCH	AGE	RIVER	INBR	MASS	TARSUS	NESTLINGS	TEL	resid.tel
4786	NID2004_144_0.6458	3137	4012	2004	F	131	13	s	0	-1.658	NA	4	1.53	-0.112
4872	NID2004_170_0.5139	3890	3562	2004	F	159	11	k	0.0376	2.813	NA	3	1.79	0.129
4935	NID2005_116_0.3958	317	3771	2005	F	108	8	w	0	5.906	NA	6	1.111	-0.194
4946	NID2005_116_0.5	333	3546	2005	F	106	10	k	0	-3.974	NA	5	1.38	0.075
4970	NID2005_120_0.5625	3890	3562	2005	F	108	12	k	0.0376	-2.582	NA	5	1.36	0.036
4975	NID2005_120_0.5903	4399	3659	2005	F	108	12	k	0.03271	2.118	NA	4	1.29	-0.032
4985	NID2005_120_0.7083	4872	4371	2005	M	108	12	k	0.12781	-1.582	NA	5	1.5	0.129
4988	NID2005_120_0.7083	4872	4371	2005	F	108	12	k	0.12781	-9.182	NA	5	1.528	0.157
4994	NID2005_120_0.75	356	4356	2005	F	108	12	w	0	-0.382	NA	6	1.31	0.005
4995	NID2005_120_0.75	356	4356	2005	F	108	12	w	0	2.518	NA	6	0.857	-0.448
4997	NID2005_120_0.75	356	4356	2005	M	108	12	w	0	-1.982	NA	6	0.857	-0.448
5003	NID2005_120_0.7708	365	4607	2005	M	108	12	w	0	0.618	NA	6	1.426	0.121
5073	NID2005_125_0.5833	4534	4544	2005	F	114	11	s	0	NA	NA	4	1.451	0.146
5075	NID2005_125_0.5833	4534	4544	2005	M	114	11	s	0	NA	NA	4	1.043	-0.262
5085	NID2005_125_0.6389	4786	3920	2005	F	114	11	s	0	-2.187	NA	5	0.808	-0.496
5086	NID2005_125_0.6389	4786	3920	2005	M	114	11	s	0	3.413	NA	5	1.625	0.321
5089	NID2005_128_0.625	2243	4604	2005	F	117	11	s	0.29004	-1.787	NA	5	1.201	-0.253
5090	NID2005_128_0.625	2243	4604	2005	M	117	11	s	0.29004	2.613	NA	5	1.201	-0.254
5105	NID2005_134_0.5625	3731	3130	2005	M	124	10	k	0.14258	2.226	NA	5	1.222	-0.157
5337	NID2006_126_0.4722	375	90	2006	M	114	12	k	0	4.018	1.678	4	1.243	-0.137
5339	NID2006_126_0.4722	375	90	2006	F	114	12	k	0	1.118	1.678	4	1.309	-0.071
5417	NID2006_138_0.4375	4975	3130	2006	M	126	12	k	0.14429	5.318	1.778	5	1.318	-0.137
5419	NID2006_138_0.4375	4975	3130	2006	F	126	12	k	0.14429	2.418	1.778	5	1.431	-0.024
5423	NID2006_138_0.4792	4970	4372	2006	M	129	9	k	0.12781	3.657	4.208	5	1.34	-0.106
5424	NID2006_138_0.4792	4970	4372	2006	F	129	9	k	0.12781	-4.343	-0.192	5	1.144	-0.302
5428	NID2006_139_0.3542	4540	105	2006	M	130	9	s	0	2.357	2.208	5	1.082	-0.298
5439	NID2006_148_0.6458	4996	3636	2006	M	132	16	w	0.02417	4.721	0.231	3	1.533	0.14
5441	NID2006_148_0.6806	4988	3659	2006	F	134	14	k	0.17297	-0.317	-0.287	4	1.148	-0.321
5444	NID2006_148_0.6806	4988	3659	2006	M	134	14	k	0.17297	4.283	0.013	4	1.711	0.242
5456	NID2006_151_0.5625	342	94	2006	M	139	12	s	0	6.218	1.478	4	1.682	0.302
5463	NID2006_153_0.625	333	4974	2006	M	142	11	k	0	4.613	1.017	6	1.642	0.262
5485	NID2006_163_0.5208	5135	4090	2006	M	153	10	s	0.0625	9.426	0.827	1	1.814	0.402
5491	NID2006_163_0.7083	3890	3483	2006	F	151	12	k	0.14258	-5.082	-2.422	4	1.682	0.228
5494	NID2006_163_0.7083	3890	3483	2006	F	151	12	k	0.14258	-0.382	-1.222	4	1.603	0.149
5573	NID2007_085_0.6667	4935	4356	2007	F	68	17	w	0.00439	-0.183	1.546	5	1.354	-0.014
5574	NID2007_085_0.6667	4935	4356	2007	M	68	17	w	0.00439	6.817	2.146	5	1.106	-0.263
5575	NID2007_085_0.6667	4935	4356	2007	M	68	17	w	0.00439	6.417	1.646	5	1.192	-0.176
5577	NID2007_088_0.6667	4988	3659	2007	F	75	13	k	0.17297	0.042	-0.090	5	1.387	-0.069
5581	NID2007_088_0.75	331	4703	2007	M	79	9	k	0	3.857	0.608	4	1.387	0.021
5620	NID2007_092_0.4167	3890	5337	2007	M	80	12	k	0	4.118	-0.422	5	1.565	0.198
5623	NID2007_092_0.4167	3890	5337	2007	M	80	12	k	0	-4.682	-2.222	5	1.378	0.011
5641	NID2007_095_0.5833	4946	5439	2007	M	82	13	w	0.02783	0.242	-0.490	5	1.238	-0.143
5645	NID2007_095_0.5833	4946	5439	2007	F	82	13	w	0.02783	-3.758	-0.890	5	1.129	-0.252
5651	NID2007_096_0.6458	475	4318	2007	F	83	13	s	0	4.042	-0.690	2	1.496	0.13
5689	NID2007_102_0.3958	5263	4372	2007	F	91	11	k	0.0929	4.213	2.517	4	1.354	-0.06
5691	NID2007_102_0.3958	5263	4372	2007	M	91	11	k	0.0929	5.913	2.117	4	1.62	0.205
5700	NID2007_104_0.5833	5265	5456	2007	F	91	13	s	0	-5.658	-0.290	6	1.431	0.064
5701	NID2007_104_0.5833	5265	5456	2007	M	91	13	s	0	-10.558	0.610	6	1.426	0.06
5711	NID2007_105_0.5625	5342	5299	2007	F	91	14	k	0.01546	-4.017	-0.587	3	1.528	0.153
5712	NID2007_105_0.5625	5342	5299	2007	M	91	14	k	0.01546	-0.017	-0.287	3	1.598	0.223
5714	NID2007_105_0.625	5491	5463	2007	M	92	13	k	0.06207	3.242	0.710	5	1.256	-0.143
5717	NID2007_105_0.625	5491	5463	2007	F	92	13	k	0.06207	-4.258	0.110	5	1.238	-0.16
5720	NID2007_105_0.6458	5494	5264	2007	M	92	13	k	0.0929	-1.758	0.310	5	1.771	0.357
5721	NID2007_105_0.6458	5494	5264	2007	F	92	13	k	0.0929	-5.558	0.010	5	1.461	0.046
5861	NID2007_150_0.6458	3997	5105	2007	M	140	10	k	0.1665	6.226	0.827	3	1.354	-0.098
6003	NID2008_102_0.5417	382	4607	2008	M	89	13	k	0	-1.658	1.010	5	1.262	-0.144
6006	NID2008_102_0.6042	331	5443	2008	F	89	13	k	0	-1.158	-1.090	4	1.098	-0.307
6008	NID2008_102_0.6042	331	5443	2008	M	89	13	k	0	4.742	0.610	4	1.93	0.525
6032	NID2008_104_0.5208	5651	105	2008	M	89	15	s	0	7.043	1.087	5	1.711	0.306
6072	NID2008_116_0.4375	3890	5463	2008	M	102	14	k	0.07214	-15.017	-2.587	3	1.373	-0.07
6073	NID2008_116_0.4375	3890	5463	2008	F	102	14	k	0.07214	-10.517	-1.687	3	1.277	-0.165
6100	NID2008_127_0.4792	3997	5299	2008	F	117	10	k	0.2793	-0.874	2.027	5	1.46	-0.09
6101	NID2008_127_0.4792	3997	5299	2008	M	117	10	k	0.2793	6.526	1.827	5	1.286	-0.264
6104	NID2008_127_0.4792	3997	5299	2008	M	117	10	k	0.2793	2.226	1.027	5	2.13	0.58
6116	NID2008_143_0.4167	5265	5456	2008	F	131	12	s	0	-0.482	0.078	5	1.334	-0.071
6189	NID2008_155_0.5694	389	5337	2008	M	143	12	k	0	9.118	1.078	4	1.239	-0.167
6280	NID2009_099_0.4514	388	4624	2009	F	87	12	s	0	-4.982	-0.122	5	0.959	0.077
6300	NID2009_099_0.6667	4994	5575	2009	F	88	11	w	0.14392	-3.987	-0.283	5	1.085	0.129
6303	NID2009_099_0.6667	4994	5575	2009	M	88	11	w	0.14392	-9.587	-2.483	5	1.311	0.355
6320	NID2009_103_0.4792	405	5378	2009	M	89	14	s	0	4.783	1.613	6	1.443	0.562
6326	NID2009_103_0.5208	5270	5485	2009	M	91	12	s	0.28125	2.518	-0.422	5	1.16	0.133
6328	NID2009_103_0.5208	5270	5485	2009	F	91	12	s	0.28125	-4.482	-1.622	5	1.37	0.343
6354	NID2009_104_0.625	4096	124	2009	F	92	12	s	0	1.818	-0.122	4	1.426	0.545
6365	NID2009_105_0.5	403	4356	2009	F	94	11	w	0	-7.387	-1.783	5	0.878	-0.003
6368	NID2009_105_0.5625	6006	5581	2009	M	93	12	k	0.15517	8.818	0.178	5	1.396	0.434
6369	NID2009_105_0.5625	6006	5581	2009	M	93	12	k	0.15517	4.718	-0.122	5	1.126	0.164
6370	NID2009_105_0.5625	6006	5581	2009	F	93	12	k	0.15517	2.918	0.478	5	1.002	0.041
6373	NID2009_105_0.6458	382	4607	2009	M	96	9	k	0	-3.143	NA	4	0.806	-0.076
6378	NID2009_107_0.6667	4935	5439	2009	F	97	10	w	0.01135	-3.774	-0.773	6	1.074	0.187
6397	NID2009_111_0.4167	5577	5620	2009	M	99	12	k	0.12247	3.318	-0.222	5	1.132	0.187
6400	NID2009_111_0.4167	5577	5620	2009	F	99	12	k	0.12247	-1.582	0.178	5	0.135	-0.81
6401	NID2009_111_0.4167	5577	5620	2009	F	99	12	k	0.12247	-3.982	-0.722	5	0.716	-0.229
6406	NID2009_111_0.4583	401	5443	2009	M	100	11	k	0	-8.287	-1.683	6	0.189	-0.693
6407	NID2009_111_0.4583	401	5443	2009	F	100	11	k	0	-9.187	-1.383	6	0.237	-0.645
6408	NID2009_111_0.4792	5339	5299	2009	F	101	10	k	0	-1.574	1.727	6	1.306	0.424
6409	NID2009_111_0.4792	5339	5299	2009	F	101	10	k	0	-4.874	0.027	6	0.913	0.031
6412	NID2009_111_0.4792	5339	5299	2009	M	101	10	k	0	-2.874	1.527	6	1.023	0.141
6422	NID2009_117_0.3958	5491	5463	2009	F	103	14	k	0.06207	-5.817	-1.987	5	1.264	0.351
6453	NID2009_127_0.625	3997	6008	2009	F	117	10	k	0.04544	-2.274	0.827	5	0.31	-0.595
6454	NID2009_127_0.625	3997	6008	2009	M	117	10	k	0.04544	4.226	1.127	5	0.158	-0.747
6538	NID2009_155_0.3958	6116	6032	2009	M	143	12	s	0	11.018	2.878	4	0.665	-0.217
6539	NID2009_155_0.3958	6116	6032	2009	F	143	12	s	0	3.518	-0.022	4	0.323	-0.558
6586	NID2010_095_0.5625	5270	5485	2010	M	85	10	s	0.28125	3.226	1.727	5	0.767	-0.14
6589	NID2010_095_0.5625	5270	5485	2010	M	85	10	s	0.28125	-2.374	-1.773	5	0.614	-0.293
6590	NID2010_095_0.5625	5270	5485	2010	F	85	10	s	0.28125	-4.674	-1.273	5	1.407	0.5
6615	NID2010_103_0.4792	5651	5428	2010	F	89	14	s	0	1.383	0.513	4	0.618	-0.143
6617	NID2010_103_0.4792	5651	5428	2010	F	89	14	s	0	-0.717	-0.687	4	0.213	-0.549
6625	NID2010_104_0.5833	5573	6189	2010	M	89	15	w	0	8.343	1.487	2	0.809	0.048
6626	NID2010_104_0.5833	5573	6189	2010	M	89	15	w	0	9.043	2.187	2	0.956	0.195
6839	NID2010_120_0.4167	6365	5575	2010	M	112	8	w	0.14392	-1.994	1.960	5	1.193	0.357
6840	NID2010_120_0.4167	6365	5575	2010	F	112	8	w	0.14392	-9.594	-0.140	5	0.816	-0.02
6849	NID2010_120_0.4583	6378	6373	2010	F	109	11	k	0.01105	-5.887	-0.883	6	1.065	0.298
6851	NID2010_120_0.4583	6378	6373	2010	M	109	11	k	0.01105	0.313	0.417	6	1.137	0.369
6856	NID2010_141_0.5	400	4090	2010	F	131	10	s	0	-5.074	-2.073	3	0.669	-0.092
6893	NID2010_152_0.6458	6453	6406	2010	M	140	12	k	0.09603	-2.582	-0.122	3	0.2	-0.611
6894	NID2010_152_0.6458	6453	6406	2010	F	140	12	k	0.09603	-5.482	-1.122	3	1.051	0.24
6919	NID2010_156_0.6875	6408	6101	2010	F	143	13	k	0.20215	-14.658	-4.390	4	1.266	0.399
6920	NID2010_156_0.6875	6408	6101	2010	M	143	13	k	0.20215	2.342	1.110	4	1.089	0.223
6651	NID2010_106_0.5208	6453	6406	2010	F	93	13	k	0.09603	-1.258	0.310	5	0.044	-0.767
6652	NID2010_106_0.5208	6453	6406	2010	M	93	13	k	0.09603	4.442	2.510	5	0.539	-0.272
6656	NID2010_106_0.6458	6407	6008	2010	M	95	11	k	0.14662	2.013	0.117	3	0.597	-0.24
6657	NID2010_106_0.6458	6407	6008	2010	M	95	11	k	0.14662	-1.287	-0.283	3	0.77	-0.068
6685	NID2010_110_0.7292	403	4356	2010	M	99	11	w	0	5.013	0.417	5	0.473	-0.288
6700	NID2010_111_0.6042	399	5485	2010	F	99	12	s	0.03906	0.818	1.478	5	0.821	0.04
6702	NID2010_111_0.6042	399	5485	2010	M	99	12	s	0.03906	5.718	2.778	5	0.682	-0.1
6734	NID2010_113_0.6389	6422	6368	2010	F	102	11	k	0.05865	3.713	-0.083	5	0.869	0.078
6736	NID2010_113_0.6389	6422	6368	2010	M	102	11	k	0.05865	-5.587	-2.183	5	0.62	-0.172
6766	NID2010_115_0.625	422	4624	2010	M	103	12	s	0	6.218	1.778	5	0.264	-0.497
6767	NID2010_115_0.6458	6354	6320	2010	M	103	12	s	0.00032	7.518	2.478	5	1.341	0.579
6770	NID2010_115_0.6458	6354	6320	2010	F	103	12	s	0.00032	1.118	0.378	5	1.348	0.587
6792	NID2010_117_0.4444	6401	5337	2010	F	107	10	k	0.125	-12.174	-2.773	5	0.84	0.013
6793	NID2010_117_0.4444	6401	5337	2010	M	107	10	k	0.125	-2.274	0.227	5	0.546	-0.28
7090	NID2011_095_0.434	6408	6101	2011	F	82	13	k	0.20215	0.742	-0.290	4	1.133	-0.104
7091	NID2011_095_0.434	6408	6101	2011	M	82	13	k	0.20215	2.442	-0.190	4	1.205	-0.032
7145	NID2011_101_0.5556	5577	5620	2011	F	88	13	k	0.12247	-8.158	-2.490	6	1.392	0.197
7146	NID2011_101_0.5556	5577	5620	2011	M	88	13	k	0.12247	-1.958	-0.690	6	1.137	-0.058
7194	NID2011_110_0.4306	6590	6766	2011	M	99	11	s	0.03906	6.113	1.017	4	1.188	0.036
7195	NID2011_110_0.4306	6590	6766	2011	F	99	11	s	0.03906	4.013	1.317	4	1.151	-0.001
7208	NID2011_111_0.4028	6856	6589	2011	F	101	10	s	0.14062	-3.474	-1.573	5	1.283	0.078
7210	NID2011_111_0.4028	6856	6589	2011	M	101	10	s	0.14062	-19.074	-5.273	5	0.948	-0.257
7218	NID2011_113_0.5278	6365	6685	2011	M	102	11	w	0.26782	-4.687	-3.183	5	1.065	-0.205
7220	NID2011_113_0.5278	6365	6685	2011	F	102	11	w	0.26782	-6.587	-5.183	5	1.192	-0.079
7272	NID2011_126_0.3958	6400	6003	2011	M	115	11	k	0.02446	1.713	-0.683	2	1.011	-0.134
7273	NID2011_126_0.3958	6400	6003	2011	F	115	11	k	0.02446	-2.987	-1.883	2	0.995	-0.15
7329	NID2011_140_0.3681	6408	6101	2011	F	126	14	k	0.20215	-2.517	0.313	3	0.976	-0.26
7330	NID2011_140_0.3681	6408	6101	2011	M	126	14	k	0.20215	1.783	0.513	3	1.178	-0.058
7340	NID2011_145_0.4861	6407	6008	2011	M	135	10	k	0.14662	-0.574	1.427	4	1.262	0.054
7342	NID2011_145_0.4861	6407	6008	2011	F	135	10	k	0.14662	-12.374	-2.273	4	1.669	0.461
7361	NID2011_148_0.6181	6651	6652	2011	F	137	11	k	0.3037	-7.787	-2.183	4	1.542	0.253
7362	NID2011_148_0.6181	6651	6652	2011	M	137	11	k	0.3037	2.713	-0.183	4	1.408	0.118
7378	NID2011_151_0.6458	471	6586	2011	M	140	11	s	0	-1.387	-0.083	2	1.445	0.313
7379	NID2011_151_0.6458	471	6586	2011	F	140	11	s	0	-9.087	-2.483	2	1.235	0.103
7381	NID2011_154_0.5625	5577	5620	2011	M	141	13	k	0.12247	4.242	0.010	4	1.163	-0.032
7382	NID2011_154_0.5625	5577	5620	2011	F	141	13	k	0.12247	-1.658	-0.890	4	0.771	-0.424
5263	NID2006_114_0.7292	4399	4704	2006	F	105	9	k	0.03271	1.257	-0.092	3	1.291	-0.106
5264	NID2006_114_0.7292	4399	4704	2006	M	105	9	k	0.03271	0.457	0.608	3	1.283	-0.114
5265	NID2006_114_0.7292	4399	4704	2006	F	105	9	k	0.03271	0.557	0.008	3	1.383	-0.014
5270	NID2006_115_0.625	5135	4090	2006	F	104	11	s	0.0625	3.813	-0.483	3	1.512	0.1
5299	NID2006_119_0.7153	3997	3121	2006	M	107	12	k	0.05859	-1.382	-1.322	3	1.318	-0.093
