Blood-ID,Sample,Sample pt,Band,Treatment,Box,Pair ID,Date,Numeric Date,Time,Numeric time,Tarsus,Mass,Cp Telomere,Mean Cp T,Cp CV T,Efficiency T,Et^CpT(C)-CpT(S),Et_CV,Cp GAPDH,Cp Mean R,Cp CV R,Efficiency R,ER^(CpR(S)-CpR(C)),Er_CV,RTL,RTLave,RTLcv,qPCR Plate,Drop Duplicate,Sex,NOx,Fledged,Recruit,Size rank,Brood size
CTR-21,Tel 2,15,58V87882,CTR,K18A,6,01/05/17,31,11:07:00,11.11666667,17.98,12.7,13.88,13.72,0.016492286,2.097833555,0.393159256,0.166866781,26.75,26.92,0.008930769,2.018534361,1.901551423,0.168063662,0.747612543,0.975430895,0.330298952,1,0,F,0.0048,1,0,6,9
CTR-21,Tel 2,15,58V87882,CTR,K18A,6,01/05/17,31,11:07:00,11.11666667,17.98,12.7,13.56,,,2.097833555,0.498350885,,27.09,,,2.018534361,2.414461942,,1.203249246,,,1,0,F,0.0048,1,0,6,9
CTR-15,Tel 2,15,58V87883,CTR,K18A,6,01/05/17,31,10:45:00,10.75,19.86,16.6,12.07,12.375,0.034855365,2.097833555,1.503052206,0.314247519,25.62,25.795,0.009594393,2.018534361,0.859839176,0.172957977,1.29238317,1.172019481,0.14523646,1,0,M,0.0022,1,0,1,9
CTR-15,Tel 2,15,58V87883,CTR,K18A,6,01/05/17,31,10:45:00,10.75,19.86,16.6,12.68,,,2.097833555,0.956519302,,25.97,,,2.018534361,1.099461129,,1.051655792,,,1,0,M,0.0022,1,0,1,9
CTR-17,Tel 2,15,58V87884,CTR,K18A,6,01/05/17,31,10:52:00,10.86666667,17.1,11.3,12.58,12.545,0.003945594,2.097833555,1.03007973,0.036664717,24.43,24.425,0.000289501,2.018534361,0.372755632,0.004966497,0.383968021,0.392772434,0.031701106,1,0,F,0.0017,0,0,7,9
CTR-17,Tel 2,15,58V87884,CTR,K18A,6,01/05/17,31,10:52:00,10.86666667,17.1,11.3,12.51,,,2.097833555,1.08491275,,24.42,,,2.018534361,0.370146675,,0.401576847,,,1,0,F,0.0017,0,0,7,9
CTR-22,Tel 2,15,58V87885,CTR,K18A,6,01/05/17,31,11:10:00,11.16666667,18.48,11,11.81,11.84,0.003583311,2.097833555,1.822361503,0.031428769,25.12,25.13,0.000562759,2.018534361,0.605200328,0.009932872,1.10289378,1.086378366,0.021499252,1,0,F,,1,0,8,9
CTR-22,Tel 2,15,58V87885,CTR,K18A,6,01/05/17,31,11:10:00,11.16666667,18.48,11,11.87,,,2.097833555,1.743123953,,25.14,,,2.018534361,0.613761833,,1.069862952,,,1,0,F,,1,0,8,9
CTR-19,Tel 2,15,58V87886,CTR,K18A,6,01/05/17,31,11:00:00,11,17.49,14.3,12.82,12.715,0.011678523,2.097833555,0.862274999,0.109797394,25.75,25.715,0.001924848,2.018534361,0.942045604,0.034758623,0.812302373,0.857910497,0.075182234,1,0,M,0.0033,1,0,4,9
CTR-19,Tel 2,15,58V87886,CTR,K18A,6,01/05/17,31,11:00:00,11,17.49,14.3,12.61,,,2.097833555,1.007436567,,25.68,,,2.018534361,0.896849143,,0.903518621,,,1,0,M,0.0033,1,0,4,9
LAN-25,Tel 1,8,58V87848,LAN,K24,4,24/04/17,24,08:12:00,8.2,14.49,11.2,12.04,11.925,0.013638118,2.076969342,2.741912041,0.118592031,25.08,25.13,0.002813795,2.018534361,0.588433933,0.049644771,1.613434086,1.830560989,0.16774301,1,0,F,0.0038,1,0,2,8
LAN-25,Tel 1,8,58V87848,LAN,K24,4,24/04/17,24,08:12:00,8.2,14.49,11.2,11.81,,,2.076969342,3.24386251,,25.18,,,2.018534361,0.631249902,,2.047687892,,,1,0,F,0.0038,1,0,2,8
LAN-26,Tel 1,8,58V87849,LAN,K24,4,24/04/17,24,08:14:00,8.233333333,14.45,9.9,12.84,12.75,0.009982684,2.097833555,0.849591921,0.094162313,25.13,25.19,0.003368512,2.018534361,0.609466047,0.059562957,0.51779743,0.580748347,0.153295384,1,0,F,0.0016,1,0,7,8
LAN-26,Tel 1,8,58V87849,LAN,K24,4,24/04/17,24,08:14:00,8.233333333,14.45,9.9,12.66,,,2.097833555,0.970798639,,25.25,,,2.018534361,0.663061565,,0.643699265,,,1,0,F,0.0016,1,0,7,8
LAN-27,Tel 1,8,58V87850,LAN,K24,4,24/04/17,24,08:17:00,8.283333333,13.56,10.2,11.77,11.435,0.04143083,2.017152285,3.094776464,0.326441659,24.65,24.26,0.022734678,1.970580571,0.401578826,0.365637121,1.242796699,1.207214772,0.041683092,2,0,M,,1,0,6,8
LAN-27,Tel 1,8,58V87850,LAN,K24,4,24/04/17,24,08:17:00,8.283333333,13.56,10.2,11.1,,,2.017152285,4.952268755,,23.87,,,1.970580571,0.236585069,,1.171632845,,,2,0,M,,1,0,6,8
LAN-28,Tel 1,8,58V87851,LAN,K24,4,24/04/17,24,08:19:00,8.316666667,12.96,8.7,11.9,11.845,0.006566631,2.017152285,2.824966201,0.054551341,25.09,25.085,0.000281884,1.970580571,0.54124295,0.004796486,1.528993039,1.584755183,0.049761365,2,0,M,0.0016,1,0,8,8
LAN-28,Tel 1,8,58V87851,LAN,K24,4,24/04/17,24,08:19:00,8.316666667,12.96,8.7,11.79,,,2.017152285,3.051648522,,25.08,,,1.970580571,0.53758397,,1.640517328,,,2,0,M,0.0016,1,0,8,8
LAN-29,Tel 1,8,58V87852,LAN,K24,4,24/04/17,24,08:24:00,8.4,14.39,10.6,14.11,13.975,0.013661455,2.097833555,0.331559265,0.140982911,27.26,27.25,0.000518977,2.018534361,2.720674018,0.009932872,0.902064679,0.994264079,0.131141862,1,0,M,,1,0,5,8
LAN-29,Tel 1,8,58V87852,LAN,K24,4,24/04/17,24,08:24:00,8.4,14.39,10.6,13.84,,,2.097833555,0.404985381,,27.24,,,2.018534361,2.682722713,,1.086463479,,,1,0,M,,1,0,5,8
LAN-30,Tel 1,8,58V87853,LAN,K24,4,24/04/17,24,08:27:00,8.45,15.28,10.8,12.16,11.805,0.042528235,2.097833555,1.406095029,0.363621618,25.42,25.55,0.007195607,2.018534361,0.747153782,0.128771796,1.050569218,1.592277447,0.481129168,1,0,M,,1,0,4,8
LAN-30,Tel 1,8,58V87853,LAN,K24,4,24/04/17,24,08:27:00,8.45,15.28,10.8,11.45,,,2.097833555,2.37942545,,25.68,,,2.018534361,0.896849143,,2.133985675,,,1,0,M,,1,0,4,8
LAN-31,Tel 1,8,58V87854,LAN,K24,4,24/04/17,24,08:29:00,8.483333333,14.92,11.3,12.73,12.71,0.002225356,2.007917687,1.340149597,0.019715637,25.58,25.775,0.010699191,2.051129172,0.750244457,0.196825887,1.005439807,1.186809823,0.216122188,3,0,F,0.0029,1,0,1,8
LAN-31,Tel 1,8,58V87854,LAN,K24,4,24/04/17,24,08:29:00,8.483333333,14.92,11.3,12.69,,,2.007917687,1.378044101,,25.97,,,2.051129172,0.992841838,,1.368179838,,,3,0,F,0.0029,1,0,1,8
LAN-32,Tel 1,8,58V87855,LAN,K24,4,24/04/17,24,08:31:00,8.516666667,14.91,11.1,15,14.915,0.008059548,2.017152285,0.320865725,0.084248593,28.03,28.015,0.000757209,1.970580571,3.976483547,0.014389018,1.275917275,1.342262829,0.069901944,2,0,F,0.002,1,0,3,8
LAN-32,Tel 1,8,58V87855,LAN,K24,4,24/04/17,24,08:31:00,8.516666667,14.91,11.1,14.83,,,2.017152285,0.36151715,,28,,,1.970580571,3.896380525,,1.408608382,,,2,0,F,0.002,1,0,3,8
LAN-21,Tel 2,15,58V87848,LAN,K24,4,01/05/17,31,09:42:00,9.7,18.91,17.5,12.29,12.175,0.013358075,2.076969342,2.283999462,0.118592031,26.14,26.23,0.004852429,1.970580571,1.103357264,0.086229984,2.520067397,2.944328217,0.203780068,2,0,F,0.0038,1,0,4,8
LAN-21,Tel 2,15,58V87848,LAN,K24,4,01/05/17,31,09:42:00,9.7,18.91,17.5,12.06,,,2.076969342,2.702121774,,26.32,,,1.970580571,1.246645902,,3.368589037,,,2,0,F,0.0038,1,0,4,8
LAN-20,Tel 2,15,58V87849,LAN,K24,4,01/05/17,31,09:37:00,9.616666667,18.07,15.7,11.64,11.575,0.007941588,2.097833555,2.066976824,0.068054275,25.08,25.075,0.000281997,2.018534361,0.588433933,0.004966497,1.216279302,1.273080775,0.063098441,1,0,F,0.0016,1,0,8,8
LAN-20,Tel 2,15,58V87849,LAN,K24,4,01/05/17,31,09:37:00,9.616666667,18.07,15.7,11.51,,,2.097833555,2.275966371,,25.07,,,2.018534361,0.58431542,,1.329882247,,,1,0,F,0.0016,1,0,8,8
LAN-18,Tel 2,15,58V87850,LAN,K24,4,01/05/17,31,09:27:00,9.45,18.81,17.9,11.76,11.65,0.013353089,2.017152285,3.116568467,0.108940586,25.49,25.255,0.013159382,1.970580571,0.709953543,0.223545446,2.212618825,2.044864668,0.116017557,2,0,M,,1,0,2,8
LAN-18,Tel 2,15,58V87850,LAN,K24,4,01/05/17,31,09:27:00,9.45,18.81,17.9,11.54,,,2.017152285,3.636798031,,25.02,,,1.970580571,0.516143733,,1.877110512,,,2,0,M,,1,0,2,8
LAN-23,Tel 2,15,58V87851,LAN,K24,4,01/05/17,31,09:48:00,9.8,19.62,17,12.53,12.325,0.023522416,2.007917687,1.540644583,0.20073378,26.63,26.555,0.003994201,2.051129172,1.595127702,0.076123168,2.457524854,2.696994789,0.125569998,3,0,M,0.0016,1,0,6,8
LAN-23,Tel 2,15,58V87851,LAN,K24,4,01/05/17,31,09:48:00,9.8,19.62,17,12.12,,,2.007917687,2.050351321,,26.48,,,2.051129172,1.432176376,,2.936464725,,,3,0,M,0.0016,1,0,6,8
LAN-19,Tel 2,15,58V87852,LAN,K24,4,01/05/17,31,09:31:00,9.516666667,20.35,17.8,11.73,11.605,0.015232804,2.076969342,3.439195354,0.128849499,25.65,25.76,0.006038955,1.970580571,0.791343432,0.105327704,2.721584655,3.257323986,0.232598854,2,0,M,,1,0,3,8
LAN-19,Tel 2,15,58V87852,LAN,K24,4,01/05/17,31,09:31:00,9.516666667,20.35,17.8,11.48,,,2.076969342,4.128709883,,25.87,,,1.970580571,0.91870425,,3.793063317,,,2,0,M,,1,0,3,8
LAN-22,Tel 2,15,58V87853,LAN,K24,4,01/05/17,31,09:44:00,9.733333333,19.87,16.5,13.44,13.375,0.006872814,2.076969342,0.985488131,0.06713756,26.5,26.395,0.005625779,1.970580571,1.408542869,0.100556618,1.38810228,1.355951476,0.033532249,2,0,M,,1,0,7,8
LAN-22,Tel 2,15,58V87853,LAN,K24,4,01/05/17,31,09:44:00,9.733333333,19.87,16.5,13.31,,,2.076969342,1.083720552,,26.29,,,1.970580571,1.221533236,,1.323800673,,,2,0,M,,1,0,7,8
LAN-17,Tel 2,15,58V87854,LAN,K24,4,01/05/17,31,09:23:00,9.383333333,18.97,17.4,12.12,12.36,0.027460458,2.097833555,1.448389987,0.248854228,26.58,26.72,0.007409802,2.018534361,1.68753166,0.138616018,2.444203959,2.264581364,0.112172923,1,0,F,0.0029,1,0,5,8
LAN-17,Tel 2,15,58V87854,LAN,K24,4,01/05/17,31,09:23:00,9.383333333,18.97,17.4,12.6,,,2.097833555,1.014928436,,26.86,,,2.018534361,2.054291411,,2.084958769,,,1,0,F,0.0029,1,0,5,8
LAN-16,Tel 2,15,58V87855,LAN,K24,4,01/05/17,31,09:19:00,9.316666667,19.38,18.1,12.25,12.095,0.018123448,2.007917687,1.872713386,0.152214191,25.26,25.395,0.007517969,2.051129172,0.596163018,0.13672587,1.116442464,1.399414318,0.28596437,3,0,F,0.002,1,0,1,8
LAN-16,Tel 2,15,58V87855,LAN,K24,4,01/05/17,31,09:19:00,9.316666667,19.38,18.1,11.94,,,2.007917687,2.324462506,,25.53,,,2.051129172,0.723774278,,1.682386173,,,3,0,F,0.002,1,0,1,8
CTR-23,Tel 1,8,58V87856,CTR,K25,4,24/04/17,24,08:45:00,8.75,14.54,9.3,12.16,12.325,0.018932676,2.076969342,2.511666126,0.16973223,25.66,25.79,0.007128645,2.018534361,0.884338789,0.128771796,2.221163779,2.157971006,0.041413011,1,0,M,0.002,1,0,3,8
CTR-23,Tel 1,8,58V87856,CTR,K25,4,24/04/17,24,08:45:00,8.75,14.54,9.3,12.49,,,2.076969342,1.973376627,,25.92,,,2.018534361,1.061519735,,2.094778233,,,1,0,M,0.002,1,0,3,8
CTR-24,Tel 1,8,58V87857,CTR,K25,4,24/04/17,24,08:47:00,8.783333333,13.65,7.7,13.59,13.715,0.012889296,2.007917687,0.735854249,0.122919769,27.44,27.33,0.005692041,2.051129172,2.8543669,0.111523284,2.100398011,1.803462054,0.232847071,3,0,M,0.0051,1,0,7,8
CTR-24,Tel 1,8,58V87857,CTR,K25,4,24/04/17,24,08:47:00,8.783333333,13.65,7.7,13.84,,,2.007917687,0.6181663,,27.22,,,2.051129172,2.437088689,,1.506526098,,,3,0,M,0.0051,1,0,7,8
CTR-25,Tel 1,8,58V87858,CTR,K25,4,24/04/17,24,08:49:00,8.816666667,13.2,8.8,12.47,12.34,0.014898522,2.017152285,1.893704472,0.128646917,26.09,26.04,0.002715464,1.970580571,1.066562841,0.047946664,2.019754821,2.142385458,0.08094991,2,0,M,0.0051,1,0,6,8
CTR-25,Tel 1,8,58V87858,CTR,K25,4,24/04/17,24,08:49:00,8.816666667,13.2,8.8,12.21,,,2.017152285,2.272711258,,25.99,,,1.970580571,0.996614104,,2.265016094,,,2,0,M,0.0051,1,0,6,8
CTR-26,Tel 1,8,58V87859,CTR,K25,4,24/04/17,24,08:51:00,8.85,11.46,5.4,13.64,13.54,0.010444709,1.97540797,0.909092443,0.096127659,26.32,26.395,0.004018413,2.051129172,1.276666974,0.076123168,1.160608299,1.320908038,0.171622898,3,0,F,0.0017,1,0,8,8
CTR-26,Tel 1,8,58V87859,CTR,K25,4,24/04/17,24,08:51:00,8.85,11.46,5.4,13.44,,,1.97540797,1.04169219,,26.47,,,2.051129172,1.421924625,,1.481207777,,,3,0,F,0.0017,1,0,8,8
CTR-27,Tel 1,8,58V87860,CTR,K25,4,24/04/17,24,08:53:00,8.883333333,14.27,9.6,12.95,12.81,0.015455886,2.097833555,0.783097001,0.146167897,26.13,26.11,0.001083274,2.018534361,1.230228159,0.019864765,0.963387982,1.058016617,0.126486766,1,0,,,1,0,2,8
CTR-27,Tel 1,8,58V87860,CTR,K25,4,24/04/17,24,08:53:00,8.883333333,14.27,9.6,12.67,,,2.097833555,0.963632522,,26.09,,,2.018534361,1.196146069,,1.152645253,,,1,0,,,1,0,2,8
CTR-28,Tel 1,8,58V87861,CTR,K25,4,24/04/17,24,08:59:00,8.983333333,14.53,9.1,12.31,12.5,0.021496046,2.007917687,1.796000943,0.186223014,26.07,26,0.003807498,2.051129172,1.066791069,0.07105714,1.915957765,1.622690808,0.255589116,3,0,F,,1,0,4,8
CTR-28,Tel 1,8,58V87861,CTR,K25,4,24/04/17,24,08:59:00,8.983333333,14.53,9.1,12.69,,,2.007917687,1.378044101,,25.93,,,2.051129172,0.964717928,,1.32942385,,,3,0,F,,1,0,4,8
CTR-29,Tel 1,8,58V87862,CTR,K25,4,24/04/17,24,09:01:00,9.016666667,14.37,9.1,11.89,11.95,0.007100654,2.076969342,3.059623808,0.061980023,25.14,25.225,0.004765437,2.018534361,0.613761833,0.084330634,1.877880316,1.908115706,0.022409175,1,0,F,0.0016,1,0,5,8
CTR-29,Tel 1,8,58V87862,CTR,K25,4,24/04/17,24,09:01:00,9.016666667,14.37,9.1,12.01,,,2.076969342,2.802698759,,25.31,,,2.018534361,0.691601654,,1.938351096,,,1,0,F,0.0016,1,0,5,8
CTR-30,Tel 1,8,58V87863,CTR,K25,4,24/04/17,24,09:03:00,9.05,14.42,9.9,12.73,12.89,0.017554241,2.007917687,1.340149597,0.15708447,26.12,26.13,0.000541222,2.051129172,1.105806203,0.010159401,1.481945737,1.342372942,0.147042401,3,0,M,0.0037,1,0,1,8
CTR-30,Tel 1,8,58V87863,CTR,K25,4,24/04/17,24,09:03:00,9.05,14.42,9.9,13.05,,,2.007917687,1.072197007,,26.14,,,2.051129172,1.121808902,,1.202800147,,,3,0,M,0.0037,1,0,1,8
CTR-12,Tel 2,15,58V87856,CTR,K25,4,01/05/17,31,10:22:00,10.36666667,19.34,16,12.84,12.795,0.004973787,2.076969342,1.52795108,0.046498048,25.61,25.6,0.000552427,2.018534361,0.853821068,0.009932872,1.304596824,1.339231295,0.036573621,1,0,M,0.002,1,0,3,8
